number,question,A,B,C,D,E,answer_letter,answer_index
1,Aşağıdakilerden hangisi yasal unsurlar dışında çeke yazılması mümkün ve geçerli ilaveler arasında yer almaz?,Hesaben ödeme kaydı,İkametgaha veya adreste ödenme kaydı ilavesi,Kabul kaydı,Protestodan muafiyet kaydı,Türk Parası hesap üzerine düzenlenmiş çek yaprağının üzerine Yabancı Para cinsinden tutar yazılması,C,2
2,"I. Günlük, haftalık ve/veya aylık raporlama yapılarak nakit tahsilatların şube, mağaza veya bayi bazında izlenebilmesi sağlar. II. Bankamıza vadesiz kaynak sağlar. III. Nakit tahsilatlar parça ve zaman kısıtı olmadan hesaba yatırma imkânı sağlar. IV. Firmaların para taşıma maliyetini minimize eder. V. Nakit akışlarından alınan payın artırılmasını sağlar. Yukarıdakilerden hangisi/hangileri Kolay Kasa ürününün müşterilerimize sağladığı faydalar arasında yer almaktadır?",Yalnız I,Yalnız II,"I, III","I, III ve IV","I, II, III ve IV",D,3
3,Aşağıdaki teslim şekillerinden hangisi alıcıya asgari düzeyde yükümlülük yüklemektedir?,"Masraflar, Navlun, Sigorta Ödenmiş Teslim – Cost, Insurance and Freight (CIF)",Navlun Ödenmiş Halde Teslim – Cost and Freight (CFR),Gemide Teslim – Free on Board (FOB),Gümrük Vergileri Ödenmiş Halde Teslim – Delivered Duty Paid (DDP),İşyerinde Teslim – EX Works (EXW),D,3
4,"I. Süper Şube, ana şube altında izlenen ve müşteri-hesap sayısına göre artan alt sanal şubelerden oluşmaktadır. II. Süper Şube’nin müşteriye hizmet verdiği fiziki bir lokasyonu ve arşivi bulunmamaktadır. III. Süper Şube avantajları arasında masrafsız şekilde başka şubedeki hesaptan para çekme işlemi yer almaktadır. IV. Dijital eğilimli Bankamız havuz müşterileri, uzaktan edinim müşterileri ve Süper Şube Hizmet Modellerinden yararlanmayı talep eden tüm müşteriler Süper Şube hedef kitlesine dahil olabilmektedir. V. 0212 392 92 92 numaralı Süper Şube İletişim Hattı üzerinden yapılan görüşmelerin kayıt altına alınmasından dolayı Süper Şube portföy temsilcilerinin cep telefonu numarası ve Voip/Cisco numaralarının müşterilerle paylaşılmaması gerekmektedir. Süper Şube ile ilgili olarak yukarıda yer alan bilgilerden hangisi/hangileri doğrudur?",Yalnız I,I ve II,"I, II ve III","I, II, III, V","I, II, III, IV ve V",E,4
5,"Aşağıdakilerden hangisi vasinin, vesayet makamının izni ile yapabileceği işlemlerden değildir?","Taşınmazların alımı, satımı, rehnedilmesi ve bunlar üzerinde başka bir ayni hak kurulması",Vesayet altındaki kişi adına kefil olmak,Ödünç verme ve alma,Kambiyo taahhüdü altına girme,Vesayet altındaki kişi hakkında hayat sigortası yapılması,B,1
6,"I. “Emre yazılı değildir”, “Ciro edilemez” veya buna benzer bir kayıtla belirli bir kimse lehine ödenmesi şart kılınan (lehtar belli olan) çek, nama yazılı çek olup, ancak alacağın temliki yoluyla devredilebilir. II. Temlik cirosu, hamilin çek üzerindeki alacak hakkının sahibi olmasına imkân tanır. III. Beyaz ciroda, lehtara yapılan (yani çek kendisine devredilen) kimsenin cirosu gösterilmesi zorunlu olmayıp, cirantanın sadece adını ve soyadını yazıp imzasını atması suretiyle de çek devredilebilir. IV. TTK uyarınca, “Emre yazılı” kaydıyla veya bu kayıt olmadan belirli bir kişi lehine ödenmesi şart kılınan bir çek, ciro ve çekin teslimiyle devredilir. V. Çeklerin tahsil cirosuyla devri, sadece nama yazılı çekler için söz konusudur. Yukarıda çek türleri ve devirleri ile ilgili yer alan bilgilerden hangisi/hangileri doğrudur?","I, II, III ve IV","II, IV ve V","I, II, IV, V","I, II, III, IV","I, III, IV ve V",D,3
7,"Aşağıda yer alan işlemlerden hangisi/hangileri OPİ uygulaması aracılığıyla Merkeze iletilebilen işlem tiplerindendir?
I. Döviz Transferi II. Peşin İthalat Transferi III. Mal Mukabili İthalat Transferi IV. EFT V. Havale/Virman",Yalnız I,IV ve V,"II, IV ve V","I, II, IV ve V","I, II, III, IV ve V",E,4
8,"Vade(SİZ) İhracat Kredi Paketi ile ilgili olarak aşağıda yer alan bilgilerden hangisi/hangileri doğrudur?
I. KOBİ dışı K/T segment müşterilerimiz kredi paketinden yararlanabilir. II. USD, EUR ve TL krediler kullandırılabilecek olup; kredilerin anapara ve faiz riski Bankamıza aittir. III. Paket ile ihracatçı firmaların ihracat bedellerinden Bankamızın aldığı payın artırılması hedeflenmektedir. IV. Kredilerin tamamı ihracat taahhütlü olarak açıklanacaktır. V. Taksitli veya BCH şeklinde kullandırılabilir.",Yalnız III,I ve III,II ve III,"I, II, III ve IV","I, II, III, IV ve V",E,4
9,"Muhatap bankanın yasal garanti kapsamında ödeme yapabilmesi için birtakım koşulların bulunması gerekmektedir.
Aşağıda yer alan koşullardan hangisi bunlardan biri değildir?",Çekin bankamız çeki olması,Çekin süresi içinde ibraz edilmiş olması,Çekin tam ciro ile ciro edilmiş olması,Çekin çek hükmünde olması,Ödeme talebinde bulunan kişinin yetkili hamil olması,C,2
10,"Aşağıdakilerden hangisi/hangileri Orta Vadeli Programda yer alan makroekonomik hedef ve politikalardandır?
I. Fiyat istikrarı II. Finansal istikrar III. Yeşil dönüşüm IV. Dijital dönüşüm V. Afet yönetimi",Yalnız I,I ve II,II ve IV,III ve IV,"I, II, III, IV ve V",E,4
11,"Süper Şube müşterileri, dijital bankacılık işlem setleri dahilinde olmayan işlem taleplerini hangi kanallar üzerinden gerçekleştirebilir/iletebilirler?
I. Ziraat Mobil uygulaması Süper Şube menüsü içindeki “Talep/Belge Gönderimi” işlem adımı ile taleplerini iletebilirler. II. Tüm Şubelerimizden hizmet alabilir veya Süper Şube müşteri temsilcilerine iletilmek üzere taleplerini Şubelere bildirebilirler. III. Süper Şube müşteri temsilcilerinin çağrı hattı telefon / cep telefonu numaralarını arayarak taleplerini iletebilirler. IV. Müşteri İletişim Merkezimiz aracılığı ile taleplerini iletebilirler. V. Süper Şube müşteri temsilcilerini 0212 392 92 92 numaralı hat üzerinden arayarak taleplerini iletebilirler.",Yalnız I,I ve III,"I, II, IV ve V","I, II ve III","I, II, III ve IV",C,2
12,"Tarımın finansmanına yönelik krediler için düzenlenen raporlarda yer alan Nakit Akım Tablosundan elde edilecek gelir tutarı, aşağıda yer alan hangi kredi/kredilerin değerlendirilmesinde kullanılır?
I. Tarımsal İşletme Kredisi II. Taksitli Tarım Destek Kredisi III. Çiftçilerin Bireysel Kredi Talepleri",Yalnız I,Yalnız II,II ve III,I ve II,"I, II ve III",E,4
13,"Tarımsal faaliyetlerde bulunan işletmeler/üreticiler için aşağıdakilerden hangilerine yönelik olarak yatırım kredisi kullandırılabilir?
I. Makine, Ekipman Alımı II. Besi Hayvanı Alımı III. Arazi Alımı IV. Soğuk Hava Deposu Kurulumu",Yalnız I,II ve III,"I, III ve IV","II, III ve IV","I, II, III ve IV",C,2
14,İhracat süreçleri ile ilgili olarak aşağıdaki ifadelerden hangisi yanlıştır?,"Firmanın hesabında bulunan döviz için İhracat Bedeli Kabul Belgesi (İBKB) düzenlenmesi talep edildiği takdirde, bankalarca dövizin yurtdışı kaynaklı olma şartı aranır.","Efektif olarak getirilen ihracat bedelinin bankalarca İBKB düzenlenirken, efektifin yurtdışından getirildiğinin tespiti gümrük idarelerince onaylı NBF (Nakit Beyan Formu) ile yapılır.",Türk Lirası olarak tahsil edilen ihracat bedelleri için İhracat Bedeli Kabul Belgesi (İBKB) düzenlenmesi zorunluluğu bulunmamaktadır.,Serbest bölgelerde bankalar aracılığı ile yapılan ihracat işlemlerinde İhracat Bedeli Kabul Belgesi düzenlenir.,İhracat bedeli kredi kartıyla tahsil edilemez.,C,2
15,Aşağıdakilerden hangisi Banka ve/veya müşteri sırrının verilebileceği “kanunen açıkça yetkili kılınmış mercilere” örnek olarak gösterilemez?,BDDK,TMSF,Sorgu Hâkimleri,Jandarma Komutanlıkları ve Askerlik Şubeleri,Milli Emlak Dairesi Başkanlığı,D,3
16,"Aşağıdaki risk türü – risk unsuru eşleştirmelerinden hangisi/hangileri doğru değildir?
I. İlişkili Risk – Grup firmalarının ve ortaklarının üçüncü kişiler lehine verdikleri kefaletler II. Grup Riski – Grup firmalarının çalışanlarının bireysel kredi riskleri III. Bireysel Risk – Grup firmalarının ortakları şahısların açılan bireysel kredileri IV. Limit Riski – Grup firmaları ve ortakları tarafından kullanılan firmaların limitleri dahilinde kullandırılan kredilerin toplam senet tutarları",Yalnız I,I ve II,II ve III,III ve IV,"I, II, III ve IV",C,2
